RingID;HoleID;Length;Total Length;Dip;DipOpposite;Dump;BT;Uphole;Offset;CollarOffset;CollarOffset Vertical;Charge Collar;Charge Length;Charge Length Total;Ungassed Charge Length;Ungassed Charge Length Total;Ungassed Collar Length;Ungassed Collar Length Total;Charge Toe;Explosive Name;Explosive Amount;Explosive Amount Total;Diameter;Subdrill;Delay;Primers;Primers(Toe);Primers(Col);Boosters;Boosters(Toe);Boosters(Col);CollarXYZ;CollarX;CollarY;CollarZ;ToeXYZ;ToeX;ToeY;ToeZ;ActualDrilled;Comments;Other;Rig;SampleHole;Pivot;PivotHeight;PivotHeightVertical;NoOfRods;NoOfRodsReal;Remote;SubRemote;TrueAzimuth;TrueDip;AzimuthOffset;Detonator
Rn1;H1;3.6511;3.6511;37.9584;322.0416;0;N;N;L0.0000;R2.26;5.374;0;[0.0000];0;[0.0000];0;[0.0000];0;0;;[0.0000];0;89 mm;0;0;0;;;0;;;{7098.1437:-23222.6685:-990.3375};7098.1437;-23222.6685;-990.3375;{7099.7760:-23221.1261:-987.4588};7099.776;-23221.1261;-987.4588;0;;;ATLAS COPCO SIMBA M6C 214;N;1;2.468;2.468;0;0;;;46.6225;52.0416;0;
Rn1;H2;6.39;6.39;51.8508;308.1492;0;N;N;L0.0000;R2.50;4.4481;2.2181;EMULSION 1.12[4.1719];4.1719;EMULSION 1.12[4.1719];4.1719;EMULSION 1.12[2.2181];2.2181;6.39;EMULSION 1.12;EMULSION 1.12[29.0681];29.0681;89 mm;0;0;1;0.0000[0];6.3900[0];0;;;{7098.3160:-23222.5057:-991.2634};7098.316;-23222.5057;-991.2634;{7101.9685:-23219.0545:-987.3162};7101.9685;-23219.0545;-987.3162;0;;;ATLAS COPCO SIMBA M6C 214;N;1;2.468;2.468;0;0;;;46.6225;38.1492;0;
Rn1;H3;8.9836;8.9836;59.5633;300.4367;0;N;N;R0.04;R2.60;4.0343;0.5;EMULSION 1.12[8.4836];8.4836;EMULSION 1.12[8.4836];8.4836;EMULSION 1.12[0.5000];0.5;8.9836;EMULSION 1.12;EMULSION 1.12[59.1112];59.1112;89 mm;0;0;1;0.0000[0];8.9836[0];0;;;{7098.3930:-23222.4330:-991.6772};7098.393;-23222.433;-991.6772;{7104.0228:-23217.1133:-987.1262};7104.0228;-23217.1133;-987.1262;0;;;ATLAS COPCO SIMBA M6C 214;N;4;2.5286;2.5286;0;0;;;46.6225;30.4367;0;
Rn1;H4;10.1175;10.1175;66.3537;293.6463;0;N;N;L0.0541;R2.70;3.6722;2.6321;EMULSION 1.12[7.4853];7.4853;EMULSION 1.12[7.4853];7.4853;EMULSION 1.12[2.6321];2.6321;10.1175;EMULSION 1.12;EMULSION 1.12[52.1554];52.1554;89 mm;0;0;1;1.0000[0];9.1175[0];0;;;{7098.4604:-23222.3693:-992.0393};7098.4604;-23222.3693;-992.0393;{7105.1967:-23216.0040:-987.9813};7105.1967;-23216.004;-987.9813;0;;;ATLAS COPCO SIMBA M6C 214;N;5;2.468;2.468;0;0;;;46.6225;23.6463;0;
Rn1;H5;9.2232;9.2232;76.9366;283.0634;0;N;N;L0.0541;R2.79;3.1278;0.7701;EMULSION 1.12[8.4530];8.453;EMULSION 1.12[8.4530];8.453;EMULSION 1.12[0.7701];0.7701;9.2232;EMULSION 1.12;EMULSION 1.12[58.8980];58.898;89 mm;0;0;1;2.0000[0];7.2232[0];0;;;{7098.5283:-23222.3051:-992.5836};7098.5283;-23222.3051;-992.5836;{7105.0586:-23216.1345:-990.4989};7105.0586;-23216.1345;-990.4989;0;;;ATLAS COPCO SIMBA M6C 214;N;5;2.468;2.468;0;0;;;46.6225;13.0634;0;
Rn1;H6;9.1444;9.1444;90.8021;269.1979;0;N;N;R0.02;R2.75;2.5616;3.3742;EMULSION 1.12[5.7702];5.7702;EMULSION 1.12[5.7702];5.7702;EMULSION 1.12[3.3742];3.3742;9.1444;EMULSION 1.12;EMULSION 1.12[40.2048];40.2048;89 mm;0;0;1;1.0000[0];8.1444[0];0;;;{7098.4990:-23222.3327:-993.1498};7098.499;-23222.3327;-993.1498;{7105.1450:-23216.0530:-993.2778};7105.145;-23216.053;-993.2778;0;;;ATLAS COPCO SIMBA M6C 214;N;6;2.5999;2.5999;0;0;;;46.6225;-0.8021;0;
Rn1;H7;9.2769;9.2769;101.9527;258.0473;0;N;N;L0.0000;R2.70;1.9085;0.5;EMULSION 1.12[8.7769];8.7769;EMULSION 1.12[8.7769];8.7769;EMULSION 1.12[0.5000];0.5;9.2769;EMULSION 1.12;EMULSION 1.12[61.1549];61.1549;89 mm;0;0;1;2.0000[0];7.2769[0];0;;;{7098.4619:-23222.3678:-993.8029};7098.4619;-23222.3678;-993.8029;{7105.0586:-23216.1345:-995.7242};7105.0586;-23216.1345;-995.7242;0;;;ATLAS COPCO SIMBA M6C 214;N;1;2.468;2.468;0;0;;;46.6225;-11.9527;0;
Rn1;H8;4.1108;4.1108;111.7652;248.2348;0;N;N;L0.0000;R2.66;1.4165;1.9103;EMULSION 1.12[2.2004];2.2004;EMULSION 1.12[2.2004];2.2004;EMULSION 1.12[1.9103];1.9103;4.1108;EMULSION 1.12;EMULSION 1.12[15.3320];15.332;89 mm;0;0;1;1.0000[0];3.1108[0];0;;;{7098.4340:-23222.3942:-994.2950};7098.434;-23222.3942;-994.295;{7101.2089:-23219.7722:-995.8192};7101.2089;-23219.7722;-995.8192;0;;;ATLAS COPCO SIMBA M6C 214;N;1;2.468;2.468;0;0;;;46.6225;-21.7652;0;
Rn2;H1;2.3819;2.3819;356.4495;3.5505;0;N;N;L1.5000;L1.6752;5.6471;0.5;EMULSION 1.12[1.8819];1.8819;EMULSION 1.12[1.8819];1.8819;EMULSION 1.12[0.5000];0.5;2.3819;EMULSION 1.12;EMULSION 1.12[13.1126];13.1126;89 mm;0;365;1;0.0000[365];2.3819[365];0;;;{7095.0605:-23225.0766:-989.9634};7095.0605;-23225.0766;-989.9634;{7094.9337:-23225.1520:-987.5860};7094.9337;-23225.152;-987.586;0;;;ATLAS COPCO SIMBA M6C 214;N;3;2.468;2.468;0;0;;;239.2861;86.4495;0;
Rn2;H2;2.3235;2.3235;4.6017;355.3983;0;N;N;R0.15;R0.40;5.6591;0.9892;EMULSION 1.12[1.3343];1.3343;EMULSION 1.12[1.3343];1.3343;EMULSION 1.12[0.9892];0.9892;2.3235;EMULSION 1.12;EMULSION 1.12[9.2971];9.2971;89 mm;0;355;1;0.0000[355];2.3235[355];0;;;{7096.8482:-23224.0146:-989.9513};7096.8482;-23224.0146;-989.9513;{7097.0084:-23223.9194:-987.6353};7097.0084;-23223.9194;-987.6353;0;;;ATLAS COPCO SIMBA M6C 214;N;4;2.468;2.468;0;0;;;59.2861;85.3983;0;
