RingID;HoleID;Length;Total Length;Dip;DipOpposite;Dump;BT;Uphole;Offset;CollarOffset;CollarOffset Vertical;Charge Collar;Charge Length;Charge Length Total;Ungassed Charge Length;Ungassed Charge Length Total;Ungassed Collar Length;Ungassed Collar Length Total;Charge Toe;Explosive Name;Explosive Amount;Explosive Amount Total;Diameter;Subdrill;Delay;Primers;Primers(Toe);Primers(Col);Boosters;Boosters(Toe);Boosters(Col);CollarXYZ;CollarX;CollarY;CollarZ;ToeXYZ;ToeX;ToeY;ToeZ;ActualDrilled;Comments;Other;Rig;SampleHole;Pivot;PivotHeight;PivotHeightVertical;NoOfRods;NoOfRodsReal;Remote;SubRemote;TrueAzimuth;TrueDip;AzimuthOffset;Detonator
SL1;H1;6.492;6.492;46.241;313.759;0;N;N;R1.66;R3.35;5.4452;0.5;EMULSION 1.12[5.9920];5.992;EMULSION 1.12[5.9920];5.992;EMULSION 1.12[0.5000];0.5;6.492;EMULSION 1.12;EMULSION 1.12[30.4442];30.4442;76 mm;0;0;1;1.0000[0];5.4920[0];0;;;{7122.1544:-23222.6836:-991.8961};7122.1544;-23222.6836;-991.8961;{7126.7971:-23222.0273:-987.4061};7126.7971;-23222.0273;-987.4061;0;;;SIMBA S7-D;N;6;3.8;3.8;0;0;;;81.9541;43.759;0;
SL1;H2;5.3025;5.3025;57.0133;302.9867;0;N;N;R1.60;R3.78;5.2138;2.3702;EMULSION 1.12[2.9323];2.9323;EMULSION 1.12[2.9323];2.9323;EMULSION 1.12[2.3702];2.3702;5.3025;EMULSION 1.12;EMULSION 1.12[14.8986];14.8986;76 mm;0;0;1;1.0000[0];4.3025[0];0;;;{7122.5830:-23222.6230:-992.1274};7122.583;-23222.623;-992.1274;{7126.9869:-23222.0005:-989.2405};7126.9869;-23222.0005;-989.2405;0;;;SIMBA S7-D;N;7;3.8;3.8;0;0;;;81.9541;32.9867;0;
SL1;H3;4.3233;4.3233;70.7446;289.2554;0;N;N;R1.66;R4.53;4.8132;0.5;EMULSION 1.12[3.8233];3.8233;EMULSION 1.12[3.8233];3.8233;EMULSION 1.12[0.5000];0.5;4.3233;EMULSION 1.12;EMULSION 1.12[19.4254];19.4254;76 mm;0;0;1;2.0000[0];2.3233[0];0;;;{7123.3252:-23222.5181:-992.5281};7123.3252;-23222.5181;-992.5281;{7127.3665:-23221.9469:-991.1023};7127.3665;-23221.9469;-991.1023;0;;;SIMBA S7-D;N;6;3.8;3.8;0;0;;;81.9541;19.2554;0;
SL1;H4;3.3377;3.3377;85.4982;274.5018;0;N;N;R1.66;R5.31;4.0877;1.5205;EMULSION 1.12[1.8173];1.8173;EMULSION 1.12[1.8173];1.8173;EMULSION 1.12[1.5205];1.5205;3.3377;EMULSION 1.12;EMULSION 1.12[9.2332];9.2332;76 mm;0;0;1;1.0000[0];2.3377[0];0;;;{7124.0989:-23222.4087:-993.2535};7124.0989;-23222.4087;-993.2535;{7127.3936:-23221.9430:-992.9915};7127.3936;-23221.943;-992.9915;0;;;SIMBA S7-D;N;6;3.8;3.8;0;0;;;81.9541;4.5018;0;
SL1;H5;1.8211;1.8211;84.8259;275.1741;0;N;N;R1.60;R6.74;2.4332;0.5;EMULSION 1.12[1.3211];1.3211;EMULSION 1.12[1.3211];1.3211;EMULSION 1.12[0.5000];0.5;1.8211;EMULSION 1.12;EMULSION 1.12[6.7124];6.7124;76 mm;0;0;1;0.5000[0];1.3211[0];0;;;{7125.5164:-23222.2084:-994.9081};7125.5164;-23222.2084;-994.9081;{7127.3122:-23221.9545:-994.7439};7127.3122;-23221.9545;-994.7439;0;;;SIMBA S7-D;N;5;1.9677;1.9677;0;0;;;81.9541;5.1741;0;
SL1;H6;2.3451;2.3451;97.6668;262.3332;0;N;N;R1.50;R6.31;1.1853;0.5;EMULSION 1.12[1.8451];1.8451;EMULSION 1.12[1.8451];1.8451;EMULSION 1.12[0.5000];0.5;2.3451;EMULSION 1.12;EMULSION 1.12[9.3748];9.3748;76 mm;0;0;1;0.5000[0];1.8451[0];0;;;{7125.0923:-23222.2683:-996.1559};7125.0923;-23222.2683;-996.1559;{7127.3936:-23221.9430:-996.4688};7127.3936;-23221.943;-996.4688;0;;;SIMBA S7-D;N;3;1.8;1.8;0;0;;;81.9541;-7.6668;0;
SL1;H7;2.5453;2.5453;104.6934;255.3066;0;N;N;R1.50;R5.82;0.6994;0.5;EMULSION 1.12[2.0453];2.0453;EMULSION 1.12[2.0453];2.0453;EMULSION 1.12[0.5000];0.5;2.5453;EMULSION 1.12;EMULSION 1.12[10.3917];10.3917;76 mm;0;0;1;1.0000[0];1.5453[0];0;;;{7124.6029:-23222.3375:-996.6418};7124.6029;-23222.3375;-996.6418;{7127.0407:-23221.9929:-997.2874};7127.0407;-23221.9929;-997.2874;0;;;SIMBA S7-D;N;3;1.8;1.8;0;0;;;81.9541;-14.6934;0;
SL2;H1;8.2453;8.2453;52.9435;307.0565;0;N;N;L0.0088;R2.27;5.4876;0.5;EMULSION 1.12[7.7453];7.7453;EMULSION 1.12[7.7453];7.7453;EMULSION 1.12[0.5000];0.5;8.2453;EMULSION 1.12;EMULSION 1.12[39.3525];39.3525;76 mm;0;0;1;1.0000[0];7.2453[0];0;;;{7120.9742:-23222.3917:-991.8495};7120.9742;-23222.3917;-991.8495;{7127.1726:-23220.1833:-986.8809};7127.1726;-23220.1833;-986.8809;0;;;SIMBA S7-D;N;4;3.7701;3.7701;0;0;;;70.3896;37.0565;0;
SL2;H2;6.9281;6.9281;58.1678;301.8322;0;N;N;L0.0088;R3.08;4.9047;3.0973;EMULSION 1.12[3.8308];3.8308;EMULSION 1.12[3.8308];3.8308;EMULSION 1.12[3.0973];3.0973;6.9281;EMULSION 1.12;EMULSION 1.12[19.4638];19.4638;76 mm;0;0;1;2.0000[0];4.9281[0];0;;;{7121.7414:-23222.1184:-992.4324};7121.7414;-23222.1184;-992.4324;{7127.2861:-23220.1429:-988.7783};7127.2861;-23220.1429;-988.7783;0;;;SIMBA S7-D;N;5;2.987;2.987;0;0;;;70.3896;31.8322;0;
SL2;H3;5.8058;5.8058;69.689;290.311;0;N;N;L0.0389;R3.79;4.4955;0.5;EMULSION 1.12[5.3058];5.3058;EMULSION 1.12[5.3058];5.3058;EMULSION 1.12[0.5000];0.5;5.8058;EMULSION 1.12;EMULSION 1.12[26.9580];26.958;76 mm;0;0;1;1.0000[0];4.8058[0];0;;;{7122.4124:-23221.8793:-992.8416};7122.4124;-23221.8793;-992.8416;{7127.5414:-23220.0519:-990.8263};7127.5414;-23220.0519;-990.8263;0;;;SIMBA S7-D;N;6;3.0774;3.0774;0;0;;;70.3896;20.311;0;
