RingID;HoleID;Length;Total Length;Dip;DipOpposite;Dump;BT;Uphole;Offset;CollarOffset;CollarOffset Vertical;Charge Collar;Charge Length;Charge Length Total;Ungassed Charge Length;Ungassed Charge Length Total;Ungassed Collar Length;Ungassed Collar Length Total;Charge Toe;Explosive Name;Explosive Amount;Explosive Amount Total;Diameter;Subdrill;Delay;Primers;Primers(Toe);Primers(Col);Boosters;Boosters(Toe);Boosters(Col);CollarXYZ;CollarX;CollarY;CollarZ;ToeXYZ;ToeX;ToeY;ToeZ;ActualDrilled;Comments;Other;Rig;SampleHole;Pivot;PivotHeight;PivotHeightVertical;NoOfRods;NoOfRodsReal;Remote;SubRemote;TrueAzimuth;TrueDip;AzimuthOffset;Detonator
S1;H1;5.8473;5.8473;347.7807;12.2193;0;Y;N;L3.9001;L4.3688;3.9196;0.5;EMULSION 1.12[5.3473];5.3473;EMULSION 1.12[5.3473];5.3473;EMULSION 1.12[0.5000];0.5;5.8473;EMULSION 1.12;EMULSION 1.12[27.1689];27.1689;76 mm;0;0;0;;;0;;;{7127.3473:-23224.5845:-993.5124};7127.3473;-23224.5845;-993.5124;{7127.2931:-23223.3481:-987.7976};7127.2931;-23223.3481;-987.7976;0;;;ATLAS COPCO SIMBA M6C 214;N;26;2.468;2.468;0;0;;;357.4886;77.7807;0;
S1;H2;5.6355;5.6355;357.4308;2.5692;0;Y;N;L3.6371;L3.7511;4.4581;2.8812;EMULSION 1.12[2.7543];2.7543;EMULSION 1.12[2.7543];2.7543;EMULSION 1.12[2.8812];2.8812;5.6355;EMULSION 1.12;EMULSION 1.12[13.9943];13.9943;76 mm;0;0;0;;;0;;;{7127.3744:-23225.2016:-992.9739};7127.3744;-23225.2016;-992.9739;{7127.3633:-23224.9492:-987.3441};7127.3633;-23224.9492;-987.3441;0;;;ATLAS COPCO SIMBA M6C 214;N;9;2.468;2.468;0;0;;;357.4886;87.4308;0;
S1;H3;5.2152;5.2152;0.1891;359.8109;0;Y;N;L2.7958;L2.7865;4.741;0.5;EMULSION 1.12[4.7152];4.7152;EMULSION 1.12[4.7152];4.7152;EMULSION 1.12[0.5000];0.5;5.2152;EMULSION 1.12;EMULSION 1.12[23.9570];23.957;76 mm;0;0;0;;;0;;;{7127.4167:-23226.1652:-992.6910};7127.4167;-23226.1652;-992.691;{7127.4174:-23226.1824:-987.4759};7127.4174;-23226.1824;-987.4759;0;;;ATLAS COPCO SIMBA M6C 214;N;6;2.468;2.468;0;0;;;177.4886;89.8109;0;
S1;H4;5.0952;5.0952;0.3871;359.6129;0;Y;N;L1.7516;L1.7326;4.6838;2.7159;EMULSION 1.12[2.3793];2.3793;EMULSION 1.12[2.3793];2.3793;EMULSION 1.12[2.7159];2.7159;5.0952;EMULSION 1.12;EMULSION 1.12[12.0889];12.0889;76 mm;0;0;0;;;0;;;{7127.4628:-23227.2182:-992.7482};7127.4628;-23227.2182;-992.7482;{7127.4643:-23227.2526:-987.6531};7127.4643;-23227.2526;-987.6531;0;;;ATLAS COPCO SIMBA M6C 214;N;5;2.468;2.468;0;0;;;177.4886;89.6129;0;
S1;H8;3.8624;3.8624;1.3887;358.6113;0;Y;N;R1.81;R1.87;4.5167;0.5;EMULSION 1.12[3.3624];3.3624;EMULSION 1.12[3.3624];3.3624;EMULSION 1.12[0.5000];0.5;3.8624;EMULSION 1.12;EMULSION 1.12[17.0839];17.0839;76 mm;0;0;0;;;0;;;{7127.6208:-23230.8207:-992.9153};7127.6208;-23230.8207;-992.9153;{7127.6249:-23230.9142:-989.0540};7127.6249;-23230.9142;-989.054;0;;;ATLAS COPCO SIMBA M6C 214;N;24;2.468;2.468;0;0;;;177.4886;88.6113;0;
S1;H5;5;5;359.9903;0.0097;0;Y;N;L0.2817;L0.2822;4.6634;0.5;EMULSION 1.12[4.5000];4.5;EMULSION 1.12[4.5000];4.5;EMULSION 1.12[0.5000];0.5;5;EMULSION 1.12;EMULSION 1.12[22.8638];22.8638;76 mm;0;0;0;;;0;;;{7127.5264:-23228.6672:-992.7686};7127.5264;-23228.6672;-992.7686;{7127.5264:-23228.6663:-987.7686};7127.5264;-23228.6663;-987.7686;0;;;ATLAS COPCO SIMBA M6C 214;N;25;2.468;2.468;0;0;;;357.4886;89.9903;0;
S1;H6;5;5;359.9903;0.0097;0;Y;N;R0.22;R0.22;4.6331;3.5485;EMULSION 1.12[1.4515];1.4515;EMULSION 1.12[1.4515];1.4515;EMULSION 1.12[3.5485];3.5485;5;EMULSION 1.12;EMULSION 1.12[7.3746];7.3746;76 mm;0;0;0;;;0;;;{7127.5483:-23229.1667:-992.7989};7127.5483;-23229.1667;-992.7989;{7127.5483:-23229.1658:-987.7989};7127.5483;-23229.1658;-987.7989;0;;;ATLAS COPCO SIMBA M6C 214;N;13;2.468;2.468;0;0;;;357.4886;89.9903;0;
S1;H7;4.5;4.5;359.9903;0.0097;0;Y;N;R0.97;R0.97;4.5378;0.5;EMULSION 1.12[4.0000];4;EMULSION 1.12[4.0000];4;EMULSION 1.12[0.5000];0.5;4.5;EMULSION 1.12;EMULSION 1.12[20.3233];20.3233;76 mm;0;0;0;;;0;;;{7127.5812:-23229.9160:-992.8942};7127.5812;-23229.916;-992.8942;{7127.5811:-23229.9152:-988.3942};7127.5811;-23229.9152;-988.3942;0;;;ATLAS COPCO SIMBA M6C 214;N;2;2.468;2.468;0;0;;;357.4886;89.9903;0;
S2;H1;0.0697;0.0697;344.5502;15.4498;0;Y;N;L3.9634;L4.6151;4.1653;0.0697;[0.0000];0;[0.0000];0;[0.0697];0.0697;0.0697;;[0.0000];0;76 mm;0;0;0;;;0;;;{7126.8370:-23224.3604:-993.3090};7126.837;-23224.3604;-993.309;{7126.8362:-23224.3418:-993.2418};7126.8362;-23224.3418;-993.2418;0;;;ATLAS COPCO SIMBA M6C 214;N;9;1.7923;1.7923;0;0;;;357.4886;74.5502;0;
S2;H2;0.0706;0.0706;355.3245;4.6755;0;Y;N;L4.1539;L4.3669;4.4286;0.0706;[0.0000];0;[0.0000];0;[0.0706];0.0706;0.0706;;[0.0000];0;76 mm;0;0;0;;;0;;;{7126.8479:-23224.6083:-993.0458};7126.8479;-23224.6083;-993.0458;{7126.8476:-23224.6025:-992.9754};7126.8476;-23224.6025;-992.9754;0;;;ATLAS COPCO SIMBA M6C 214;N;7;1.8088;1.8088;0;0;;;357.4886;85.3245;0;
S2;H3;0.0617;0.0617;358.6881;1.3119;0;Y;N;L3.2306;L3.2983;4.8143;0.0617;[0.0000];0;[0.0000];0;[0.0617];0.0617;0.0617;;[0.0000];0;76 mm;0;0;0;;;0;;;{7126.8947:-23225.6759:-992.6601};7126.8947;-23225.6759;-992.6601;{7126.8946:-23225.6745:-992.5984};7126.8946;-23225.6745;-992.5984;0;;;ATLAS COPCO SIMBA M6C 214;N;6;1.8418;1.8418;0;0;;;357.4886;88.6881;0;
