Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor
S1;0;87.4886;;8;;76 mm;40.1557;40.1557;28.51;095 3W MPR02A LHS 01E EXST;28.51;0;144.8547;{7127.5388:-23228.9491:-994.4035};7127.5388;-23228.9491;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S2;0;87.4886;0.500 : S1;10;;76 mm, 152 mm;15.3167;15.3167;0;095 3W MPR02A LHS 01E EXST;0;0;0;{7127.0392:-23228.9710:-994.4035};7127.0392;-23228.971;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S3;0;87.4886;0.250 : S2;4;;76 mm;20.8;20.8;14.8;095 3W MPR02A LHS 01E EXST;14.8;0;75.1964;{7126.7895:-23228.9820:-994.4035};7126.7895;-23228.982;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S4;0;87.4886;0.250 : S3;0;;;0;0;0;095 3W MPR02A LHS 01E EXST;0;0;0;{7126.5397:-23228.9929:-994.4035};7126.5397;-23228.9929;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S5;0;87.4886;0.250 : S4;4;;76 mm;20;20;14.53;095 3W MPR02A LHS 01E EXST;14.53;4;73.8246;{7126.2900:-23229.0039:-994.4035};7126.29;-23229.0039;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S6;0;87.4886;0.250 : S5;10;;76 mm, 152 mm;47.8094;47.8094;25.054;095 3W MPR02A LHS 01E EXST;25.054;7;127.2954;{7126.0402:-23229.0148:-994.4035};7126.0402;-23229.0148;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
S7;0;87.4886;0.500 : S6;8;;76 mm;39.9426;39.9426;29.8479;095 3W MPR02A LHS 01E EXST;29.8479;8;151.6525;{7125.5407:-23229.0367:-994.4035};7125.5407;-23229.0367;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
R1;0;87.482;2.008 : S7;6;;76 mm;27.0383;27.0383;22.8359;095 3W MPR02A LHS 01E EXST;22.8359;6;116.0254;{7123.5595:-23229.3485:-994.4035};7123.5595;-23229.3485;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
R2;0;87.482;2.000 : R1;6;;76 mm;27.8968;27.8968;23.2003;095 3W MPR02A LHS 01E EXST;23.2003;6;117.8768;{7121.5898:-23229.6951:-994.4035};7121.5898;-23229.6951;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
R3;0;88.2376;2.000 : R2;8;;76 mm;32.334;32.334;28.334;095 3W MPR02A LHS 01E EXST;28.334;8;143.9606;{7119.6148:-23229.9909:-994.4035};7119.6148;-23229.9909;-994.4035;FALSE;EAST;;ATLAS COPCO SIMBA M6C 214;0
