RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
R4,H1,9.0612,9.0612,320.0077,219.9923,90.0000,N,N,R1.5437,L0.4999,0.0858,0.5000,EMULSION 1.12[6.7796],6.7796,EMULSION 1.12[6.7796],6.7796,EMULSION 1.12[0.5000],0.5000,7.2796,EMULSION 1.12,EMULSION 1.12[47.2379],47.2379,89 mm,0.0000,0.0000,1,1.0000[0],8.0612[0],0,,,{7119.3173:-23214.5834:-990.5936},7119.3173,-23214.5834,-990.5936,{7124.0044:-23209.4626:-996.4171},7124.0044,-23209.4626,-996.4171,0.0000,,,ATLAS COPCO SIMBA S7 D,N,12,1.8000,1.8000,6.0000,5.0340,,,42.4682,-39.9923,0.0000,
R4,H2,7.2271,7.2271,331.6433,208.3567,90.0000,N,N,R1.7839,L1.5096,0.0225,2.1020,EMULSION 1.12[3.7685],3.7685,EMULSION 1.12[3.7685],3.7685,EMULSION 1.12[2.1020],2.1020,5.8705,EMULSION 1.12,EMULSION 1.12[26.2578],26.2578,89 mm,0.0000,0.0000,1,1.0000[0],6.2271[0],0,,,{7119.9990:-23213.8386:-990.6569},7119.9990,-23213.8386,-990.6569,{7124.2931:-23209.1472:-994.0894},7124.2931,-23209.1472,-994.0894,0.0000,,,ATLAS COPCO SIMBA S7 D,N,13,1.8000,1.8000,5.0000,4.0150,,,42.4682,-28.3567,0.0000,
R4,H3,4.5888,4.5888,343.8351,196.1649,90.0000,N,N,R1.7839,L3.3433,0.3138,0.5000,EMULSION 1.12[4.0888],4.0888,EMULSION 1.12[4.0888],4.0888,EMULSION 1.12[0.5000],0.5000,4.5888,EMULSION 1.12,EMULSION 1.12[28.4896],28.4896,89 mm,0.0000,0.0000,1,2.0000[0],2.5888[0],0,,,{7121.2371:-23212.4859:-990.3655},7121.2371,-23212.4859,-990.3655,{7124.2129:-23209.2348:-991.6430},7124.2129,-23209.2348,-991.6430,0.0000,,,ATLAS COPCO SIMBA S7 D,N,13,1.8000,1.8000,3.0000,2.5493,,,42.4682,-16.1649,0.0000,
R4,H4,3.7189,3.7189,358.7779,181.2221,90.0000,N,N,R3.0032,L3.7001,1.6570,1.7938,EMULSION 1.12[1.9252],1.9252,EMULSION 1.12[1.9252],1.9252,EMULSION 1.12[1.7938],1.7938,3.7189,EMULSION 1.12,EMULSION 1.12[13.4139],13.4139,89 mm,0.0000,0.0000,1,1.0000[0],2.7189[0],0,,,{7121.4780:-23212.2227:-989.0223},7121.4780,-23212.2227,-989.0223,{7123.9884:-23209.4801:-989.1016},7123.9884,-23209.4801,-989.1016,0.0000,,,ATLAS COPCO SIMBA S7 D,N,14,1.8000,1.8000,3.0000,2.0661,,,42.4682,-1.2221,0.0000,
R4,H5,3.9806,3.9806,12.1450,167.8550,90.0000,N,N,R3.0032,L3.5504,3.2104,0.5000,EMULSION 1.12[3.4616],3.4616,EMULSION 1.12[3.4616],3.4616,EMULSION 1.12[0.5000],0.5000,3.9616,EMULSION 1.12,EMULSION 1.12[24.1195],24.1195,89 mm,0.0000,0.0000,1,1.0000[0],2.9806[0],0,,,{7121.3770:-23212.3331:-987.4690},7121.3770,-23212.3331,-987.4690,{7124.0044:-23209.4626:-986.6315},7124.0044,-23209.4626,-986.6315,0.0000,,,ATLAS COPCO SIMBA S7 D,N,14,1.8000,1.8000,3.0000,2.2114,,,42.4682,12.1450,0.0000,
R4,H6,4.9642,4.9642,30.5505,149.4495,90.0000,N,N,R0.4802,L3.2381,3.9947,1.8454,EMULSION 1.12[3.1188],3.1188,EMULSION 1.12[3.1188],3.1188,EMULSION 1.12[1.8454],1.8454,4.9642,EMULSION 1.12,EMULSION 1.12[21.7308],21.7308,89 mm,0.0000,0.0000,1,1.0000[0],3.9642[0],0,,,{7121.1661:-23212.5635:-986.6847},7121.1661,-23212.5635,-986.6847,{7124.0526:-23209.4100:-984.1614},7124.0526,-23209.4100,-984.1614,0.0000,,,ATLAS COPCO SIMBA S7 D,N,8,1.8000,1.8000,3.0000,2.7579,,,42.4682,30.5505,0.0000,
R4,H7,2.8402,2.8402,40.1689,139.8311,90.0000,N,N,R1.5437,L1.8751,4.6859,0.5000,EMULSION 1.12[2.3402],2.3402,EMULSION 1.12[2.3402],2.3402,EMULSION 1.12[0.5000],0.5000,2.8402,EMULSION 1.12,EMULSION 1.12[16.3061],16.3061,89 mm,0.0000,0.0000,1,1.0000[0],1.8402[0],0,,,{7120.2458:-23213.5689:-985.9934},7120.2458,-23213.5689,-985.9934,{7121.7112:-23211.9680:-984.1614},7121.7112,-23211.9680,-984.1614,0.0000,,,ATLAS COPCO SIMBA S7 D,N,12,1.8000,1.8000,2.0000,1.5779,,,42.4682,40.1689,0.0000,
R4,H8,1.7443,1.7443,82.5181,97.4819,90.0000,N,N,L0.9651,L1.3482,4.7173,0.5000,EMULSION 1.12[1.2443],1.2443,EMULSION 1.12[1.2443],1.2443,EMULSION 1.12[0.5000],0.5000,1.7443,EMULSION 1.12,EMULSION 1.12[8.6698],8.6698,89 mm,0.0000,0.0000,1,0.5000[0],1.2443[0],0,,,{7119.8901:-23213.9576:-985.9621},7119.8901,-23213.9576,-985.9621,{7120.0434:-23213.7901:-984.2326},7120.0434,-23213.7901,-984.2326,0.0000,,,ATLAS COPCO SIMBA S7 D,N,4,1.8000,1.8000,1.0000,0.9691,,,42.4682,82.5181,0.0000,
R4,H9,2.0601,2.0601,115.4529,64.5471,90.0000,N,N,L2.2035,L0.7981,4.7528,0.5000,EMULSION 1.12[1.2221],1.2221,EMULSION 1.12[1.2221],1.2221,EMULSION 1.12[0.5000],0.5000,1.7221,EMULSION 1.12,EMULSION 1.12[8.5153],8.5153,89 mm,0.0000,0.0000,1,0.5000[0],1.5601[0],0,,,{7119.5187:-23214.3634:-985.9265},7119.5187,-23214.3634,-985.9265,{7118.9209:-23215.0165:-984.0664},7118.9209,-23215.0165,-984.0664,0.0000,,,ATLAS COPCO SIMBA S7 D,N,2,1.8000,1.8000,2.0000,1.1445,,,222.4682,64.5471,0.0000,
R4,H10,1.5677,1.5677,100.8679,79.1321,90.0000,N,N,R0.7263,R1.3593,5.0971,0.5000,EMULSION 1.12[1.0656],1.0656,EMULSION 1.12[1.0656],1.0656,EMULSION 1.12[0.5000],0.5000,1.5656,EMULSION 1.12,EMULSION 1.12[7.4244],7.4244,89 mm,0.0000,0.0000,1,0.5000[0],1.0677[0],0,,,{7118.0621:-23215.9548:-985.5822},7118.0621,-23215.9548,-985.5822,{7117.8625:-23216.1728:-984.0426},7117.8625,-23216.1728,-984.0426,0.0000,,,ATLAS COPCO SIMBA S7 D,N,10,1.8000,1.8000,1.0000,0.8710,,,222.4682,79.1321,0.0000,
R4,H11,1.1756,1.1756,121.9902,58.0098,90.0000,N,N,R0.4802,R2.6709,5.3071,0.5000,EMULSION 1.12[0.6716],0.6716,EMULSION 1.12[0.6716],0.6716,EMULSION 1.12[0.5000],0.5000,1.1716,EMULSION 1.12,EMULSION 1.12[4.6792],4.6792,89 mm,0.0000,0.0000,1,0.5000[0],0.6756[0],0,,,{7117.1765:-23216.9223:-985.3722},7117.1765,-23216.9223,-985.3722,{7116.7560:-23217.3817:-984.3751},7116.7560,-23217.3817,-984.3751,0.0000,,,ATLAS COPCO SIMBA S7 D,N,8,1.8000,1.8000,1.0000,0.6531,,,222.4682,58.0098,0.0000,
R4,H12,3.7309,3.7309,16.0926,163.9074,90.0000,N,N,R1.7839,L3.3433,0.3138,0.0000,EMULSION 1.12[1.5672],1.5672,EMULSION 1.12[1.5672],1.5672,EMULSION 1.12[0.0000],0.0000,1.5672,EMULSION 1.12,EMULSION 1.12[10.9201],10.9201,89 mm,0.0000,0.0000,1,1.0000[0],2.7309[0],0,,,{7121.2371:-23212.4859:-990.3655},7121.2371,-23212.4859,-990.3655,{7119.9222:-23213.9226:-987.1833},7119.9222,-23213.9226,-987.1833,0.0000,,,ATLAS COPCO SIMBA S7 D,N,13,1.8000,1.8000,3.0000,2.0727,,,222.4682,58.5322,0.0000,
