Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;PF;Drill Factor;TONNES;BlastSolids;BlastSolidsVolume
R1;0;118;;12;;76 mm;137.6565;137.6565;112.2115;100 4W CUT3 LHS 7MB RINGS;112.2115;0;570.1283;{7096.4116:-23441.5862:-1049.8535};7096.4116;-23441.5862;-1049.8535;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R2;0;118;1.855 : R1;12;;76 mm;133.4412;133.4412;109.652;100 4W CUT3 LHS 7MB RINGS;109.652;0;557.1239;{7095.0326:-23440.3456:-1049.8144};7095.0326;-23440.3456;-1049.8144;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R3a;0;118;1.855 : R2;3;;76 mm;40.8103;40.8103;39.3103;100 4W CUT3 LHS 7MB RINGS;39.3103;0;199.7293;{7093.6536:-23439.1049:-1049.7752};7093.6536;-23439.1049;-1049.7752;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R3_;0;116.9179;0.898 : R3a;10;;76 mm;107.1596;107.1596;93.5031;100 4W CUT3 LHS 7MB RINGS;93.5031;0;475.074;{7092.9862:-23438.5045:-1049.7563};7092.9862;-23438.5045;-1049.7563;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;;0;;;
R4a;0;118;0.957 : R3_;3;;76 mm;32.699;32.699;31.199;100 4W CUT3 LHS 7MB RINGS;31.199;0;158.517;{7092.2747:-23437.8643:-1049.7361};7092.2747;-23437.8643;-1049.7361;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R4;0;116.9179;1.071 : R4a;12;;76 mm;143.6818;143.6818;126.2677;100 4W CUT3 LHS 7MB RINGS;126.2677;0;641.5453;{7091.4785:-23437.1480:-1049.7135};7091.4785;-23437.148;-1049.7135;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;;0;;;
R5;0;118;0.784 : R4;10;;76 mm;110.0127;110.0127;94.6455;100 4W CUT3 LHS 7MB RINGS;94.6455;0;480.8781;{7090.8957:-23436.6236:-1049.6970};7090.8957;-23436.6236;-1049.697;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R6;0;118;2.061 : R5;22;;76 mm;182.7551;182.7551;107.5744;100 4W CUT3 LHS 7MB RINGS;107.5744;0;546.5677;{7089.3635:-23435.2451:-1049.6535};7089.3635;-23435.2451;-1049.6535;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R7A;0;103.0867;0.120 : R7;7;;76 mm;53.3173;53.3173;35.6921;100 4W CUT3 LHS 7MB RINGS;35.6921;5;181.3456;{7087.7420:-23433.7863:-1049.6075};7087.742;-23433.7863;-1049.6075;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;;0;;;
R7;6;118;2.061 : R6;17;;76 mm;166.2492;166.2492;79.7074;100 4W CUT3 LHS 7MB RINGS;79.7074;10;404.9804;{7087.8314:-23433.8666:-1049.6100};7087.8314;-23433.8666;-1049.61;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R8;0;118;1.426 : R7A;13;;76 mm;121.155;121.155;101.1462;100 4W CUT3 LHS 7MB RINGS;101.1462;17;513.9072;{7086.6822:-23432.8327:-1049.5774};7086.6822;-23432.8327;-1049.5774;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R9;0;118;1.546 : R8;13;;76 mm;122.4673;122.4673;88.6553;100 4W CUT3 LHS 7MB RINGS;88.6553;16;450.4431;{7085.5331:-23431.7989:-1049.5448};7085.5331;-23431.7989;-1049.5448;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R10;0;118;2.028 : R9;21;;76 mm;159.1165;159.1165;119.3003;100 4W CUT3 LHS 7MB RINGS;119.3003;21;606.1451;{7083.9191:-23430.5742:-1049.5295};7083.9191;-23430.5742;-1049.5295;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R11;0;118;2.018 : R10;12;;76 mm;128.669;128.669;94.3718;100 4W CUT3 LHS 7MB RINGS;94.3718;14;479.4875;{7082.2784:-23429.3997:-1049.5234};7082.2784;-23429.3997;-1049.5234;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;∞;0;0;;0
R12;0;118;2.018 : R11;9;;76 mm;118.1738;118.1738;81.5847;100 4W CUT3 LHS 7MB RINGS;81.5847;12;414.5185;{7080.6378:-23428.2253:-1049.5173};7080.6378;-23428.2253;-1049.5173;FALSE;EAST;;SIMBA S7-D SOUTH DEEPS;;0;;;
