RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
SLOT1,H1,3.2474,3.2474,245.3076,114.6924,0.0000,Y,N,R0.0716,L2.1596,0.8755,0.5000,EMULSION 1.12[2.7474],2.7474,EMULSION 1.12[2.7474],2.7474,EMULSION 1.12[0.5000],0.5000,3.2474,EMULSION 1.12,EMULSION 1.12[19.1432],19.1432,89 mm,0.0000,0.0000,1,1.0000[0],2.2474[0],0,,,{7102.6133:-23440.7808:-1067.5256},7102.6133,-23440.7808,-1067.5256,{7104.4328:-23438.4581:-1068.8822},7104.4328,-23438.4581,-1068.8822,0.0000,,,SIMBA S7-D,N,17,1.8215,1.8215,0.0000,0.0000,,,38.0729,-24.6924,0.0000,
SLOT1,H2,2.5744,2.5744,267.2737,92.7263,0.0000,N,N,R0.0716,L2.5782,1.6509,0.5000,EMULSION 1.12[2.0744],2.0744,EMULSION 1.12[2.0744],2.0744,EMULSION 1.12[0.5000],0.5000,2.5744,EMULSION 1.12,EMULSION 1.12[14.4540],14.4540,89 mm,0.0000,0.0000,1,1.0000[0],1.5744[0],0,,,{7102.8714:-23440.4513:-1066.7502},7102.8714,-23440.4513,-1066.7502,{7104.4572:-23438.4269:-1066.8727},7104.4572,-23438.4269,-1066.8727,0.0000,,,SIMBA S7-D,N,22,1.7283,1.7283,0.0000,0.0000,,,38.0729,-2.7263,0.0000,
SLOT1,H3,2.6278,2.6278,287.0533,72.9467,0.0000,N,N,L0.0217,L2.5753,2.8090,0.5000,EMULSION 1.12[2.1278],2.1278,EMULSION 1.12[2.1278],2.1278,EMULSION 1.12[0.5000],0.5000,2.6278,EMULSION 1.12,EMULSION 1.12[14.8256],14.8256,89 mm,0.0000,0.0000,1,1.0000[0],1.6278[0],0,,,{7102.8697:-23440.4536:-1065.5921},7102.8697,-23440.4536,-1065.5921,{7104.4189:-23438.4759:-1064.8214},7104.4189,-23438.4759,-1064.8214,0.0000,,,SIMBA S7-D,N,21,1.9769,1.9769,0.0000,0.0000,,,38.0729,17.0533,0.0000,
SLOT1,H4,3.7525,3.7525,320.0425,39.9575,0.0000,N,N,L1.1405,L2.5533,3.6558,0.5000,EMULSION 1.12[3.2525],3.2525,EMULSION 1.12[3.2525],3.2525,EMULSION 1.12[0.5000],0.5000,3.7525,EMULSION 1.12,EMULSION 1.12[22.6625],22.6625,89 mm,0.0000,0.0000,1,1.0000[0],2.7525[0],0,,,{7102.8561:-23440.4709:-1064.7453},7102.8561,-23440.4709,-1064.7453,{7104.3422:-23438.5737:-1061.8689},7104.3422,-23438.5737,-1061.8689,0.0000,,,SIMBA S7-D,N,7,1.9147,1.9147,0.0000,0.0000,,,38.0729,50.0425,0.0000,
SLOT1,H5,6.7579,6.7579,337.5818,22.4182,0.0000,N,N,L1.2027,L2.5103,4.9157,0.5000,EMULSION 1.12[6.2579],6.2579,EMULSION 1.12[6.2579],6.2579,EMULSION 1.12[0.5000],0.5000,6.7579,EMULSION 1.12,EMULSION 1.12[43.6031],43.6031,89 mm,0.0000,0.0000,1,1.0000[0],5.7579[0],0,,,{7102.8296:-23440.5047:-1063.4854},7102.8296,-23440.5047,-1063.4854,{7104.4189:-23438.4759:-1057.2382},7104.4189,-23438.4759,-1057.2382,0.0000,,,SIMBA S7-D,N,15,1.6972,1.6972,0.0000,0.0000,,,38.0729,67.5818,0.0000,
SLOT1,H6,10.1812,10.1812,344.7896,15.2104,0.0000,Y,N,L1.2337,L2.3191,5.6447,5.6940,EMULSION 1.12[4.4872],4.4872,EMULSION 1.12[4.4872],4.4872,EMULSION 1.12[5.6940],5.6940,10.1812,EMULSION 1.12,EMULSION 1.12[31.2654],31.2654,89 mm,0.0000,0.0000,1,1.0000[0],9.1812[0],0,,,{7102.7117:-23440.6552:-1062.7564},7102.7117,-23440.6552,-1062.7564,{7104.3589:-23438.5524:-1052.9318},7104.3589,-23438.5524,-1052.9318,0.0000,,,SIMBA S7-D,N,8,1.6039,1.6039,0.0000,0.0000,,,38.0729,74.7896,0.0000,
SLOT1,H7,12.5869,12.5869,349.2264,10.7736,0.0000,Y,N,L1.1405,L1.8771,5.8346,0.5000,EMULSION 1.12[12.0869],12.0869,EMULSION 1.12[12.0869],12.0869,EMULSION 1.12[0.5000],0.5000,12.5869,EMULSION 1.12,EMULSION 1.12[84.2174],84.2174,89 mm,0.0000,0.0000,1,1.0000[0],11.5869[0],0,,,{7102.4391:-23441.0032:-1062.5665},7102.4391,-23441.0032,-1062.5665,{7103.8900:-23439.1510:-1050.2015},7103.8900,-23439.1510,-1050.2015,0.0000,,,SIMBA S7-D,N,7,1.9147,1.9147,0.0000,0.0000,,,38.0729,79.2264,0.0000,
SLOT1,H8,12.0920,12.0920,355.1009,4.8991,0.0000,N,N,L1.0628,L1.4287,6.0405,7.7239,EMULSION 1.12[4.3681],4.3681,EMULSION 1.12[4.3681],4.3681,EMULSION 1.12[7.7239],7.7239,12.0920,EMULSION 1.12,EMULSION 1.12[30.4357],30.4357,89 mm,0.0000,0.0000,1,1.0000[0],11.0920[0],0,,,{7102.1626:-23441.3562:-1062.3606},7102.1626,-23441.3562,-1062.3606,{7102.7994:-23440.5433:-1050.3127},7102.7994,-23440.5433,-1050.3127,0.0000,,,SIMBA S7-D,N,5,1.7231,1.7231,0.0000,0.0000,,,38.0729,85.1009,0.0000,
SLOT1,H9,12.3573,12.3573,0.0000,0.0000,0.0000,Y,N,L1.0211,L1.0211,6.1446,0.5000,EMULSION 1.12[11.8573],11.8573,EMULSION 1.12[11.8573],11.8573,EMULSION 1.12[0.5000],0.5000,12.3573,EMULSION 1.12,EMULSION 1.12[60.2450],60.2450,76 mm,0.0000,0.0000,1,1.0000[0],11.3573[0],0,,,{7101.9113:-23441.6771:-1062.2565},7101.9113,-23441.6771,-1062.2565,{7101.9113:-23441.6771:-1049.8992},7101.9113,-23441.6771,-1049.8992,0.0000,,,SIMBA S7-D,N,11,1.8000,1.8000,0.0000,0.0000,,,0.0000,90.0000,0.0000,
SLOT1,H10,12.5092,12.5092,0.0000,0.0000,0.0000,Y,N,L0.2711,L0.2711,5.9928,4.8826,EMULSION 1.12[7.6266],7.6266,EMULSION 1.12[7.6266],7.6266,EMULSION 1.12[4.8826],4.8826,12.5092,EMULSION 1.12,EMULSION 1.12[38.7496],38.7496,76 mm,0.0000,0.0000,1,2.0000[0],10.5092[0],0,,,{7101.4488:-23442.2675:-1062.4083},7101.4488,-23442.2675,-1062.4083,{7101.4488:-23442.2675:-1049.8992},7101.4488,-23442.2675,-1049.8992,0.0000,,,SIMBA S7-D,N,25,1.8000,1.8000,0.0000,0.0000,,,0.0000,90.0000,0.0000,
