RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
S1,H1,13.5161,13.5161,347.8077,12.1923,0.0000,N,N,R0.9804,R0.3636,4.6715,1.3815,EMULSION 1.12[12.8308],12.8308,EMULSION 1.12[12.8308],12.8308,EMULSION 1.12[1.3815],1.3815,14.2124,EMULSION 1.12,EMULSION 1.12[65.1914],65.1914,76 mm,0.0000,5500.0000,2,3.0000[5500];8.0000[5500],10.5161[5500];5.5161[5500],0,,,{7099.2892:-23451.5701:-1062.9551},7099.2892,-23451.5701,-1062.9551,{7101.6537:-23453.1693:-1049.7438},7101.6537,-23453.1693,-1049.7438,0.0000,,,SIMBA S7-D,N,2,1.8000,1.8000,0.0000,0.0000,,,124.0724,77.8077,0.0000,
S1,H2,10.7162,10.7162,350.4279,9.5721,0.0000,N,N,R0.9804,R0.4962,4.6882,0.5000,EMULSION 1.12[10.5000],10.5000,EMULSION 1.12[10.5000],10.5000,EMULSION 1.12[0.5000],0.5000,11.0000,EMULSION 1.12,EMULSION 1.12[53.3488],53.3488,76 mm,0.0000,1500.0000,2,1.0000[1500];7.0000[1500],9.7162[1500];3.7162[1500],0,,,{7099.1794:-23451.4958:-1062.9384},7099.1794,-23451.4958,-1062.9384,{7100.6555:-23452.4942:-1052.3714},7100.6555,-23452.4942,-1052.3714,0.0000,,,SIMBA S7-D,N,2,1.8000,1.8000,0.0000,0.0000,,,124.0724,80.4279,0.0000,
S1,H3,12.0000,12.0000,0.0977,359.9023,0.0000,N,N,L0.2696,L0.2954,4.5237,2.0628,EMULSION 1.12[9.9372],9.9372,EMULSION 1.12[9.9372],9.9372,EMULSION 1.12[2.0628],2.0628,12.0000,EMULSION 1.12,EMULSION 1.12[50.4893],50.4893,76 mm,0.0000,1700.0000,2,1.0000[1700];8.0000[1700],11.0000[1700];4.0000[1700],0,,,{7099.8351:-23451.9393:-1063.1028},7099.8351,-23451.9393,-1063.1028,{7099.8182:-23451.9279:-1051.1028},7099.8182,-23451.9279,-1051.1028,0.0000,,,SIMBA S7-D,N,25,1.8000,1.8000,0.0000,0.0000,,,304.0724,89.9023,0.0000,
S1,H6,11.9961,11.9961,2.8429,357.1571,0.0000,N,N,R0.9804,R1.1269,4.7676,0.5000,EMULSION 1.12[11.5000],11.5000,EMULSION 1.12[11.5000],11.5000,EMULSION 1.12[0.5000],0.5000,12.0000,EMULSION 1.12,EMULSION 1.12[58.4296],58.4296,76 mm,0.0000,5700.0000,2,2.0000[5700];7.0000[5700],9.9961[5700];4.9961[5700],0,,,{7098.6570:-23451.1425:-1062.8589},7098.6570,-23451.1425,-1062.8589,{7098.1642:-23450.8092:-1050.8776},7098.1642,-23450.8092,-1050.8776,0.0000,,,SIMBA S7-D,N,2,1.8000,1.8000,0.0000,0.0000,,,304.0724,87.1571,0.0000,
S1,H4,12.0000,12.0000,359.7397,0.2603,0.0000,N,N,R0.2304,R0.2871,4.6618,0.5000,EMULSION 1.12[11.5000],11.5000,EMULSION 1.12[11.5000],11.5000,EMULSION 1.12[0.5000],0.5000,12.0000,EMULSION 1.12,EMULSION 1.12[58.4296],58.4296,76 mm,0.0000,1900.0000,2,2.0000[1900];7.0000[1900],10.0000[1900];5.0000[1900],0,,,{7099.3526:-23451.6130:-1062.9647},7099.3526,-23451.6130,-1062.9647,{7099.3978:-23451.6435:-1050.9648},7099.3978,-23451.6435,-1050.9648,0.0000,,,SIMBA S7-D,N,13,1.8000,1.8000,0.0000,0.0000,,,124.0724,89.7397,0.0000,
S1,H5,12.0000,12.0000,359.9179,0.0821,0.0000,N,N,R0.9804,R0.9958,4.7511,0.8904,EMULSION 1.12[11.1096],11.1096,EMULSION 1.12[11.1096],11.1096,EMULSION 1.12[0.8904],0.8904,12.0000,EMULSION 1.12,EMULSION 1.12[56.4458],56.4458,76 mm,0.0000,2100.0000,2,1.0000[2100];8.0000[2100],11.0000[2100];4.0000[2100],0,,,{7098.7656:-23451.2160:-1062.8754},7098.7656,-23451.2160,-1062.8754,{7098.7798:-23451.2256:-1050.8754},7098.7798,-23451.2256,-1050.8754,0.0000,,,SIMBA S7-D,N,2,1.8000,1.8000,0.0000,0.0000,,,124.0724,89.9179,0.0000,
S2,H2,12.0000,36.0000,359.9199,0.0801,0.0000,N,N,L0.5196,L0.5039,4.6146,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,152 mm,0.0000,0.0000,0,,,0,,,{7100.2879:-23451.6420:-1063.0582},7100.2879,-23451.6420,-1063.0582,{7100.3018:-23451.6514:-1051.0582},7100.3018,-23451.6514,-1051.0582,0.0000,,,SIMBA S7-D,N,19,1.8000,1.8000,0.0000,0.0000,,,124.0724,89.9199,0.0000,
S2,H1,13.2573,13.2573,349.3422,10.6578,0.0000,N,N,R0.4804,L0.0895,4.8849,0.5000,EMULSION 1.12[13.3526],13.3526,EMULSION 1.12[13.3526],13.3526,EMULSION 1.12[0.5000],0.5000,13.8526,EMULSION 1.12,EMULSION 1.12[67.8423],67.8423,76 mm,0.0000,3900.0000,2,2.0000[3900];9.0000[3900],11.2573[3900];4.2573[3900],0,,,{7099.9447:-23451.4098:-1062.7879},7099.9447,-23451.4098,-1062.7879,{7101.9757:-23452.7835:-1049.7593},7101.9757,-23452.7835,-1049.7593,0.0000,,,SIMBA S7-D,N,14,1.8000,1.8000,0.0000,0.0000,,,124.0724,79.3422,0.0000,
S2,H5,12.9930,12.9930,6.9537,353.0463,0.0000,N,N,R0.4804,R0.8639,5.0008,0.5000,EMULSION 1.12[12.4776],12.4776,EMULSION 1.12[12.4776],12.4776,EMULSION 1.12[0.5000],0.5000,12.9776,EMULSION 1.12,EMULSION 1.12[63.3964],63.3964,76 mm,0.0000,4100.0000,2,2.0000[4100];8.0000[4100],10.9930[4100];4.9930[4100],0,,,{7099.1550:-23450.8757:-1062.6721},7099.1550,-23450.8757,-1062.6721,{7097.8520:-23449.9944:-1049.7746},7097.8520,-23449.9944,-1049.7746,0.0000,,,SIMBA S7-D,N,14,1.8000,1.8000,0.0000,0.0000,,,304.0724,83.0463,0.0000,
S2,H3,12.0000,36.0000,359.9199,0.0801,0.0000,N,N,L0.0196,L0.0043,4.8968,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,152 mm,0.0000,0.0000,0,,,0,,,{7099.8741:-23451.3621:-1062.7760},7099.8741,-23451.3621,-1062.7760,{7099.8880:-23451.3715:-1050.7761},7099.8880,-23451.3715,-1050.7761,0.0000,,,SIMBA S7-D,N,24,1.8000,1.8000,0.0000,0.0000,,,124.0724,89.9199,0.0000,
