Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor
S1S;0;220;1.500 : S2S;6;;76 mm;54.4122;54.4122;51.4122;100 04W CUT03 LHP 07W SLOT;51.4122;6;261.217;{6907.0180:-23438.0595:-1049.9285};6907.018;-23438.0595;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S2S;0;219;1.500 : S3S;6;;76 mm;52.5294;52.5294;45.5626;100 04W CUT03 LHP 07W SLOT;45.5626;6;231.4959;{6905.9573:-23439.1202:-1049.9285};6905.9573;-23439.1202;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S3S;0;220;1.500 : S4S;5;;76 mm;43.4335;43.4335;38.966;100 04W CUT03 LHP 07W SLOT;38.966;5;197.9797;{6904.8967:-23440.1808:-1049.9285};6904.8967;-23440.1808;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S4S;0;220.1986;1.500 : S5S;5;;76 mm;40.1813;40.1813;36.0048;100 04W CUT03 LHP 07W SLOT;36.0048;5;182.9344;{6903.6443:-23440.9952:-1049.9285};6903.6443;-23440.9952;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S5S;0;219.1986;;5;;76 mm;38.4204;38.4204;34.9124;100 04W CUT03 LHP 07W SLOT;34.9124;5;177.3843;{6902.3559:-23441.7633:-1049.9285};6902.3559;-23441.7633;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S1;0;218.6598;1.500 : S1S;8;;76 mm;74;74;57.5179;100 04W CUT03 LHP 07W SLOT;57.5179;8;292.239;{6908.0087:-23436.9362:-1049.9285};6908.0087;-23436.9362;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S2;0;218.6598;0.500 : S1;7;;76 mm, 152 mm;64.5;121.5;34;100 04W CUT03 LHP 07W SLOT;34;4;172.7484;{6908.3211:-23436.5458:-1049.9285};6908.3211;-23436.5458;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S3;0;218.6598;0.250 : S2;4;;76 mm;39.5;39.5;30.8634;100 04W CUT03 LHP 07W SLOT;30.8634;4;156.8117;{6908.4772:-23436.3506:-1049.9285};6908.4772;-23436.3506;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S4;0;218.6598;0.250 : S3;8;;76 mm, 152 mm;75;135;38.9924;100 04W CUT03 LHP 07W SLOT;38.9924;5;198.1137;{6908.6334:-23436.1554:-1049.9285};6908.6334;-23436.1554;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S5;0;218.6598;0.250 : S4;4;;76 mm;39.5;39.5;28.5;100 04W CUT03 LHP 07W SLOT;28.5;4;129.2891;{6908.7896:-23435.9601:-1049.9285};6908.7896;-23435.9601;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S6;0;218.6598;0.250 : S5;6;;76 mm, 152 mm;58.5;118.5;23.763;100 04W CUT03 LHP 07W SLOT;23.763;3;120.7357;{6908.9457:-23435.7649:-1049.9285};6908.9457;-23435.7649;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S7;0;218.6598;0.500 : S6;7;;76 mm;67;67;49.599;100 04W CUT03 LHP 07W SLOT;49.599;7;252.0041;{6909.2581:-23435.3745:-1049.9285};6909.2581;-23435.3745;-1049.9285;FALSE;SOUTH;;SIMBA S7-D;0
S1N;0;35.6598;1.500 : S7;5;;76 mm;49.9523;49.9523;44.8241;100 04W CUT03 LHP 07W SLOT;44.8241;5;227.7437;{6910.1951:-23434.2032:-1049.9285};6910.1951;-23434.2032;-1049.9285;FALSE;NORTH;;SIMBA S7-D;0
S2N;0;31.5374;1.500 : S1N;5;;76 mm;52.4623;52.4623;47.3341;100 04W CUT03 LHP 07W SLOT;47.3341;5;240.4968;{6910.8814:-23432.8746:-1049.9285};6910.8814;-23432.8746;-1049.9285;FALSE;NORTH;;SIMBA S7-D;0
S3N;0;23.5374;1.500 : S2N;5;;76 mm;50.3171;50.3171;47.8171;100 04W CUT03 LHP 07W SLOT;47.8171;5;242.9506;{6911.5280:-23431.5211:-1049.9285};6911.528;-23431.5211;-1049.9285;FALSE;NORTH;;SIMBA S7-D;0
S4N;5;25.5374;1.000 : S3N;5;;76 mm;49;49;46.5;100 04W CUT03 LHP 07W SLOT;46.5;5;236.2588;{6911.9591:-23430.6188:-1049.9285};6911.9591;-23430.6188;-1049.9285;FALSE;NORTH;;SIMBA S7-D;0
