RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
S1S,H1,8.8666,8.8666,355.4790,4.5210,0.0000,N,N,L3.1826,L3.3685,5.0340,0.5000,EMULSION 1.12[8.3666],8.3666,EMULSION 1.12[8.3666],8.3666,EMULSION 1.12[0.5000],0.5000,8.8666,EMULSION 1.12,EMULSION 1.12[42.5096],42.5096,76 mm,0.0000,0.0000,1,1.0000[0],7.8666[0],0,,,{6909.5984:-23440.2247:-1046.4985},6909.5984,-23440.2247,-1046.4985,{6910.1338:-23440.6739:-1037.6595},6910.1338,-23440.6739,-1037.6595,0.0000,,,SIMBA S7-D,N,6,2.6838,2.6838,0.0000,0.0000,,,130.0000,85.4790,0.0000,
S1S,H2,9.2998,9.2998,358.8309,1.1691,0.0000,N,N,L2.6101,L2.6806,5.1997,0.5000,EMULSION 1.12[8.7998],8.7998,EMULSION 1.12[8.7998],8.7998,EMULSION 1.12[0.5000],0.5000,9.2998,EMULSION 1.12,EMULSION 1.12[44.7105],44.7105,76 mm,0.0000,0.0000,1,2.0000[0],7.2998[0],0,,,{6909.0715:-23439.7826:-1046.3328},6909.0715,-23439.7826,-1046.3328,{6909.2168:-23439.9045:-1037.0349},6909.2168,-23439.9045,-1037.0349,0.0000,,,SIMBA S7-D,N,3,1.7470,1.7470,0.0000,0.0000,,,130.0000,88.8309,0.0000,
S1S,H3,9.2550,9.2550,359.5453,0.4547,0.0000,N,N,L1.3091,L1.3397,5.6072,0.5000,EMULSION 1.12[8.7550],8.7550,EMULSION 1.12[8.7550],8.7550,EMULSION 1.12[0.5000],0.5000,9.2550,EMULSION 1.12,EMULSION 1.12[44.4825],44.4825,76 mm,0.0000,0.0000,1,1.0000[0],8.2550[0],0,,,{6908.0443:-23438.9206:-1045.9253},6908.0443,-23438.9206,-1045.9253,{6908.1005:-23438.9678:-1036.6706},6908.1005,-23438.9678,-1036.6706,0.0000,,,SIMBA S7-D,N,2,1.7470,1.7470,0.0000,0.0000,,,130.0000,89.5453,0.0000,
S1S,H4,9.2782,9.2782,0.4476,359.5524,0.0000,N,N,R0.0441,R0.0757,5.7922,0.5000,EMULSION 1.12[8.7782],8.7782,EMULSION 1.12[8.7782],8.7782,EMULSION 1.12[0.5000],0.5000,9.2782,EMULSION 1.12,EMULSION 1.12[44.6007],44.6007,76 mm,0.0000,0.0000,1,2.0000[0],7.2782[0],0,,,{6906.9600:-23438.0109:-1045.7404},6906.9600,-23438.0109,-1045.7404,{6906.9045:-23437.9643:-1036.4625},6906.9045,-23437.9643,-1036.4625,0.0000,,,SIMBA S7-D,N,1,1.7470,1.7470,0.0000,0.0000,,,310.0000,89.5524,0.0000,
S1S,H5,9.2292,9.2292,0.2247,359.7753,0.0000,N,N,R1.6574,R1.6733,5.8410,0.5000,EMULSION 1.12[8.7292],8.7292,EMULSION 1.12[8.7292],8.7292,EMULSION 1.12[0.5000],0.5000,9.2292,EMULSION 1.12,EMULSION 1.12[44.3517],44.3517,76 mm,0.0000,0.0000,1,1.0000[0],8.2292[0],0,,,{6905.7362:-23436.9839:-1045.6916},6905.7362,-23436.9839,-1045.6916,{6905.7085:-23436.9607:-1036.4625},6905.7085,-23436.9607,-1036.4625,0.0000,,,SIMBA S7-D,N,4,1.7990,1.7990,0.0000,0.0000,,,310.0000,89.7753,0.0000,
S1S,H6,8.4834,8.4834,2.8744,357.1256,0.0000,N,N,R2.3860,R2.5851,5.8688,0.5000,EMULSION 1.12[7.9834],7.9834,EMULSION 1.12[7.9834],7.9834,EMULSION 1.12[0.5000],0.5000,8.4834,EMULSION 1.12,EMULSION 1.12[40.5621],40.5621,76 mm,0.0000,0.0000,1,1.0000[0],7.4834[0],0,,,{6905.0377:-23436.3978:-1045.6637},6905.0377,-23436.3978,-1045.6637,{6904.7118:-23436.1244:-1037.1911},6904.7118,-23436.1244,-1037.1911,0.0000,,,SIMBA S7-D,N,5,1.9031,1.9031,0.0000,0.0000,,,310.0000,87.1256,0.0000,
S2S,H1,8.2346,8.2346,355.6600,4.3400,0.0000,N,N,L3.3908,L3.6524,5.0998,2.4869,EMULSION 1.12[5.7477],5.7477,EMULSION 1.12[5.7477],5.7477,EMULSION 1.12[2.4869],2.4869,8.2346,EMULSION 1.12,EMULSION 1.12[29.2034],29.2034,76 mm,0.0000,0.0000,1,0.0000[0],8.2346[0],0,,,{6908.7958:-23441.4187:-1046.5470},6908.7958,-23441.4187,-1046.5470,{6909.2801:-23441.8108:-1038.3360},6909.2801,-23441.8108,-1038.3360,0.0000,,,SIMBA S7-D,N,6,1.6531,1.6531,0.0000,0.0000,,,129.0000,85.6600,0.0000,
S2S,H2,9.0840,9.0840,359.2079,0.7921,0.0000,N,N,L2.9744,L3.0050,5.2686,0.5000,EMULSION 1.12[8.5840],8.5840,EMULSION 1.12[8.5840],8.5840,EMULSION 1.12[0.5000],0.5000,9.0840,EMULSION 1.12,EMULSION 1.12[43.6137],43.6137,76 mm,0.0000,0.0000,1,2.0000[0],7.0840[0],0,,,{6908.2927:-23441.0113:-1046.3782},6908.2927,-23441.0113,-1046.3782,{6908.3903:-23441.0903:-1037.2952},6908.3903,-23441.0903,-1037.2952,0.0000,,,SIMBA S7-D,N,3,3.0583,3.0583,0.0000,0.0000,,,129.0000,89.2079,0.0000,
S2S,H3,8.9669,8.9669,0.0000,0.0000,0.0000,N,N,L1.5693,L1.5693,5.5409,0.5000,EMULSION 1.12[8.4669],8.4669,EMULSION 1.12[8.4669],8.4669,EMULSION 1.12[0.5000],0.5000,8.9669,EMULSION 1.12,EMULSION 1.12[43.0190],43.0190,76 mm,0.0000,0.0000,1,1.0000[0],7.9669[0],0,,,{6907.1769:-23440.1077:-1046.1059},6907.1769,-23440.1077,-1046.1059,{6907.1769:-23440.1077:-1037.1390},6907.1769,-23440.1077,-1037.1390,0.0000,,,SIMBA S7-D,N,2,1.9653,1.9653,0.0000,0.0000,,,0.0000,90.0000,0.0000,
S2S,H4,8.9764,8.9764,0.4621,359.5379,0.0000,N,N,L0.1121,L0.0804,5.8440,0.5000,EMULSION 1.12[8.4764],8.4764,EMULSION 1.12[8.4764],8.4764,EMULSION 1.12[0.5000],0.5000,8.9764,EMULSION 1.12,EMULSION 1.12[43.0670],43.0670,76 mm,0.0000,0.0000,1,2.0000[0],6.9764[0],0,,,{6906.0198:-23439.1707:-1045.8028},6906.0198,-23439.1707,-1045.8028,{6905.9635:-23439.1252:-1036.8268},6905.9635,-23439.1252,-1036.8268,0.0000,,,SIMBA S7-D,N,1,1.9133,1.9133,0.0000,0.0000,,,309.0000,89.5379,0.0000,
