RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
R1,H1,3.8295,3.8295,252.0234,107.9766,0.0000,N,N,L0.3806,L3.8824,0.5013,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6933.9475:-23451.4925:-1051.2261},6933.9475,-23451.4925,-1051.2261,{6932.2010:-23454.6891:-1052.4080},6932.2010,-23454.6891,-1052.4080,0.0000,,,SIMBA S7-D,N,15,1.6375,1.6375,0.0000,0.0000,,,208.6496,-17.9766,0.0000,
R1,H2,4.1994,4.1994,263.7742,96.2258,0.0000,N,N,R0.3035,L3.8824,1.3329,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6933.9475:-23451.4925:-1050.3945},6933.9475,-23451.4925,-1050.3945,{6931.9459:-23455.1560:-1050.8499},6931.9459,-23455.1560,-1050.8499,0.0000,,,SIMBA S7-D,N,14,1.7895,1.7895,0.0000,0.0000,,,208.6496,-6.2258,0.0000,
R1,H3,4.1424,4.1424,273.0128,86.9872,0.0000,N,N,L0.0766,L3.8824,2.3699,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6933.9475:-23451.4925:-1049.3576},6933.9475,-23451.4925,-1049.3576,{6931.9641:-23455.1226:-1049.1398},6931.9641,-23455.1226,-1049.1398,0.0000,,,SIMBA S7-D,N,13,2.1696,2.1696,0.0000,0.0000,,,208.6496,3.0128,0.0000,
R1,H4,7.6000,7.6000,328.5868,31.4132,0.0000,N,N,L2.0527,L3.1458,2.7899,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6934.3006:-23450.8461:-1048.9375},6934.3006,-23450.8461,-1048.9375,{6932.4014:-23454.3222:-1042.4514},6932.4014,-23454.3222,-1042.4514,0.0000,,,SIMBA S7-D,N,2,1.0000,1.0000,0.0000,0.0000,,,208.6496,58.5868,0.0000,
R1,H5,6.9155,6.9155,342.2996,17.7004,0.0000,N,N,L2.0147,L2.7623,3.5619,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6934.4845:-23450.5095:-1048.1655},6934.4845,-23450.5095,-1048.1655,{6933.4764:-23452.3546:-1041.5774},6933.4764,-23452.3546,-1041.5774,0.0000,,,SIMBA S7-D,N,3,1.2195,1.2195,0.0000,0.0000,,,208.6496,72.2996,0.0000,
R1,H6,6.2939,6.2939,355.3520,4.6480,0.0000,N,N,L1.8627,L2.1127,4.5229,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6934.7959:-23449.9394:-1047.2045},6934.7959,-23449.9394,-1047.2045,{6934.5514:-23450.3870:-1040.9314},6934.5514,-23450.3870,-1040.9314,0.0000,,,SIMBA S7-D,N,4,1.4475,1.4475,0.0000,0.0000,,,208.6496,85.3520,0.0000,
R1,H7,6.4146,6.4146,357.4886,2.5114,0.0000,N,N,L0.3046,L0.4035,4.8057,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6935.6154:-23448.4395:-1046.9218},6935.6154,-23448.4395,-1046.9218,{6935.4806:-23448.6862:-1040.5133},6935.4806,-23448.6862,-1040.5133,0.0000,,,SIMBA S7-D,N,5,2.5496,2.5496,0.0000,0.0000,,,208.6496,87.4886,0.0000,
R1,H8,6.6573,6.6573,8.7273,351.2727,0.0000,N,N,R0.2655,R0.5854,4.9759,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6936.0896:-23447.5716:-1046.7515},6936.0896,-23447.5716,-1046.7515,{6936.5739:-23446.6852:-1040.1713},6936.5739,-23446.6852,-1040.1713,0.0000,,,SIMBA S7-D,N,6,2.8916,2.8916,0.0000,0.0000,,,28.6496,81.2727,0.0000,
R1,H9,7.0611,7.0611,21.0375,338.9625,0.0000,N,N,R0.5695,R1.4549,5.1177,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6936.5064:-23446.8086:-1046.6097},6936.5064,-23446.8086,-1046.6097,{6937.7217:-23444.5842:-1040.0193},6937.7217,-23444.5842,-1040.0193,0.0000,,,SIMBA S7-D,N,7,2.8156,2.8156,0.0000,0.0000,,,28.6496,68.9625,0.0000,
R1,H10,7.1979,7.1979,32.4365,327.5635,0.0000,N,N,R0.4935,R1.8011,4.8352,0.0000,[0.0000],0.0000,[0.0000],0.0000,[0.0000],0.0000,0.0000,,[0.0000],0.0000,76 mm,0.0000,0.0000,0,,,0,,,{6936.6724:-23446.5048:-1046.8922},6936.6724,-23446.5048,-1046.8922,{6938.5234:-23443.1168:-1040.8173},6938.5234,-23443.1168,-1040.8173,0.0000,,,SIMBA S7-D,N,8,2.7776,2.7776,0.0000,0.0000,,,28.6496,57.5635,0.0000,
